the_geom,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON
POINT (-122.400620008786 37.754663548257),2771,1199 DE HARO ST,Golden Gate Properties,23RD,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{D64547CE-93F8-42FA-A0DC-8FA72C27A518},2015,1,37.754659,-122.400607
POINT (-122.41966500882 37.758836948359),385,3520 20TH ST,Comics and Art Businesses,20TH,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:33 AM +0000,{19FE6B70-0FAA-41FF-AEC2-FE52F29B9B5A},2010,12,37.758832,-122.419652
POINT (-122.420304208994 37.754846777647),2081,110 BARTLETT ST,CCSF Mission,22ND; BARTLETT,PARCEL,10,20,,,MTA,10/21/2017 12:22:01 AM +0000,{ED38A0B4-8319-4605-B21E-32D606573FDA},2007,0,37.754842,-122.420291
POINT (-122.438887008598 37.77273694817),42,1195 OAK ST,Oakside Cafe,OAK,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:23 AM +0000,{E359155B-F7EE-4845-8E00-B211C3AA50BC},2013,1,37.772732,-122.438874
POINT (-122.426973257835 37.787924754376),638,1802 BUSH ST,Octavia,OCTAVIA,SIDEWALK,1,2,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:36 AM +0000,{E00D3493-42F4-47B6-85D5-B6DD8CC3D5E2},2015,10,37.78792,-122.42696
POINT (-122.416340708159 37.792796747895),1996,1263 LEAVENWORTH ST,Lebeau Nob Hill Market,LEAVENWORTH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{D8ABEB10-22B4-4023-8506-AC2977803A4A},2015,1,37.792792,-122.416327
POINT (-122.430539768592 37.766453997807),3622,2174 Market Street,Aatxe (Café Du Nord),MARKET,ROADWAY,5,10,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:38 AM +0000,{8BC2036D-C45C-4F6F-B68B-B5CB760B1183},2017,5,37.766449,-122.430527
POINT (-122.457940008063 37.723998947744),2141,1443 OCEAN AVE,Ocean Pizza,OCEAN,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{36B3807B-FA7F-42C8-BA92-829BA59FD979},2004,0,37.723994,-122.457927
POINT (-122.422530108816 37.777964097759),1849,360 GROVE ST,Performing Arts Garage,GROVE,GARAGE,12,24,,,MTA,10/21/2017 12:21:49 AM +0000,{4B0D21BC-FF4A-47A8-BE19-251897EAE204},2015,1,37.777959,-122.422517
POINT (-122.394083008739 37.77470394792),2279,201 BERRY ST,Philz Coffee,BERRY,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{BC1F95F6-8670-42E9-B75F-44B52EBFE688},2010,0,37.774699,-122.39407
POINT (-122.479586606165 37.782331869301),3488,1902 Clement St,Spoke Easy SF,CLEMENT,SIDEWALK,2,4,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:34 AM +0000,{F55EE12C-0719-4E09-8821-482DFBB07F3D},2016,11,37.782327,-122.479573
POINT (-122.389610008928 37.76851994728),1756,1630 03RD ST,UCSF Mission Bay and 3rd St Garage,03RD,GARAGE CAGE,82,164,,,MTA,10/21/2017 12:22:02 AM +0000,{337B770E-9CFA-4DCE-B542-8F95F9AE6BDA},2005,0,37.768515,-122.389597
POINT (-122.446722008448 37.788452948412),2647,3290 SACRAMENTO ST,UNKNOWN,SACRAMENTO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:35 AM +0000,{09F0DF71-D310-43DF-A530-0EE0734AC9EE},2006,0,37.788448,-122.446709
POINT (-122.465903009038 37.762915948338),1110,1360 09TH AVE,Nan King Road Bistro,09TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:39 AM +0000,{6524C533-3D8D-4975-9E6A-BC44C42EED52},2004,0,37.762911,-122.46589
POINT (-122.401775208262 37.763350447541),2899,500 DE HARO ST,St Gregory's Church,DE HARO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:37 AM +0000,{13FBC22A-999D-4B28-B317-9E2AEEE9AAE3},2002,0,37.763346,-122.401762
POINT (-122.451205908699 37.769209537697),903,1727 HAIGHT ST,Second Act,HAIGHT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:47 AM +0000,{01AD4277-CBF6-440D-BBDD-AE1055326ADF},0,0,37.769205,-122.451193
POINT (-122.413949112694 37.750118324546),1035,2948 FOLSOM ST,La Cocina,FOLSOM,SIDEWALK,1,2,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:38 AM +0000,{61E8B287-5D3D-438A-9D9F-7DF300EFB374},2015,8,37.750113,-122.413936
POINT (-122.415807908997 37.779159078328),2230,24 GROVE ST,SF Main Library,GROVE,ROADWAY,19,38,,,MTA,10/21/2017 12:22:04 AM +0000,{2D7AA47C-6594-4BEF-8675-CE8C82A5A0D3},2005,0,37.779154,-122.415795
POINT (-122.478843372576 37.782364915942),3246,1834 Clement St,Lee and Young Orthodontics,CLEMENT,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:49 AM +0000,{05E61CED-452B-4B57-BEA3-8A416318D7E4},2017,5,37.78236,-122.47883
POINT (-122.41741200941 37.766402948358),1303,427 SOUTH VAN NESS AVE,Hertz Rental,S VAN NESS,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:48 AM +0000,{9A6D5F23-9BC0-49AE-8348-14AB5FBEA9C0},2002,0,37.766398,-122.417399
POINT (-122.40749800901 37.772412947457),3030,1010 BRYANT ST,SO Restaurant,BRYANT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:48 AM +0000,{CCE946E6-98C2-4173-A085-052BE5D76E79},2015,1,37.772408,-122.407485
POINT (-122.421189008794 37.787352947868),91,1285 SUTTER ST,multiple,SUTTER,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:23 AM +0000,{5994A07C-51F6-4874-8210-B0081806057E},2013,8,37.787348,-122.421176
POINT (-122.39255900863 37.782555948093),2291,555 02ND ST,Nova Bar and Restaurant,02ND,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{19A9AC37-2595-4154-ABDE-A8FF5CA432D0},2005,0,37.782551,-122.392546
POINT (-122.420680008558 37.792030948178),1452,1630 POLK ST,True Value Hardware,POLK,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:52 AM +0000,{660E5794-E623-4821-AF20-A047D20C70BF},2004,0,37.792026,-122.420667
POINT (-122.479368668692 37.763399674357),3205,2007 Irving St,Sandra Lee Optometry,IRVING,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:48 AM +0000,{AE391736-1FB8-4CF1-8B24-F22ED4CFEFA3},2017,7,37.763395,-122.479355
POINT (-122.411252808529 37.80382291736),1473,2064 POWELL ST,Citizen Chain Cyclery,POWELL,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:52 AM +0000,{E9F10A11-4770-4715-ACD2-E084947AD946},2010,0,37.803818,-122.41124
POINT (-122.498038608491 37.738253947878),2292,2601 40TH AVE,South Sunset Playground,WAWONA; VICENTE,SIDEWALK,4,8,,,MTA,10/21/2017 12:21:51 AM +0000,{C18FCCFA-38CC-4296-8114-C30AFB19D6FE},2015,1,37.738249,-122.498025
POINT (-122.405000009223 37.78985894798),2299,266 SUTTER ST,Posh Bagel,SUTTER,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{0BD43592-48CF-4773-9381-B362F578BFE9},2004,0,37.789854,-122.404987
POINT (-122.43364900911 37.786488947301),2795,1833 FILLMORE ST,Women's Community Clinic,FILLMORE,ROADWAY,6,12,,,MTA,10/21/2017 12:21:25 AM +0000,{B3608C4B-6974-4EDD-85EF-2472C69FB124},2011,12,37.786484,-122.433636
POINT (-122.504583008446 37.752777948267),486,3809 NORIEGA ST,UNKNOWN,NORIEGA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:20 AM +0000,{AE258843-60F2-4EBE-ABEA-D923D34CF48F},2005,0,37.752773,-122.50457
POINT (-122.431409008797 37.765083948619),1019,2217 MARKET ST,Bombay Indian Restaurant,MARKET,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:22 AM +0000,{BAC7B321-2BD6-4F49-B952-C09296CB052A},2004,0,37.765079,-122.431396
POINT (-122.417566701796 37.758796905831),920,3430 20TH ST,Mary's Barber and Beauty Shop,20TH,SIDEWALK,1,2,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:47 AM +0000,{4ECB023D-35A2-452F-B76D-5F58EA1381C9},2015,11,37.758792,-122.417553
POINT (-122.464589072856 37.783885648806),3565,251 6th Ave,Peabody Elementary School,07TH,SIDEWALK,3,6,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:36 AM +0000,{A6656A50-29EA-48DE-9D85-71ABAB5DA528},2016,7,37.783881,-122.464576
POINT (-122.501075218751 37.775480461121),3353,3951 Balboa,CVC,BALBOA,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:33 AM +0000,{635F5148-05EE-4600-8C03-9B1578FC4DED},2016,10,37.775476,-122.501062
POINT (-122.423535608974 37.755279378176),3028,3412 22ND ST,Onyx,22ND,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:48 AM +0000,{20143492-332E-48DB-B270-978448A7646C},2010,0,37.755274,-122.423522
POINT (-122.412994008726 37.784880948097),2962,410 ELLIS ST,Starlight Market,ELLIS,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:38 AM +0000,{69808F05-85B2-409D-BC7E-DC9F0FE2A849},2010,11,37.784876,-122.412981
POINT (-122.439580009121 37.782232948514),1141,1363 DIVISADERO ST,Walgreens,DIVISADERO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{9C9EBC7F-A200-4208-AE48-B72040A3B24C},0,0,37.782228,-122.439567
POINT (-122.416686207897 37.789548148244),2264,900 HYDE ST,St. Francis Memorial Hospital,HYDE,SIDEWALK,2,4,,,MTA,10/21/2017 12:22:04 AM +0000,{57D5200A-0A70-4A4F-9E25-1337E3CA6B5A},2015,1,37.789543,-122.416673
POINT (-122.467058009043 37.761888947767),1414,451 JUDAH ST,Bikram Yoga Inner Sunset,JUDAH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:20 AM +0000,{6D0479BB-C651-4EAA-A089-AA424D09E4C1},2003,0,37.761884,-122.467045
POINT (-122.427941009178 37.751418947962),496,3821 24TH ST,Noe Valley Wine Merchants,24TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:34 AM +0000,{1773CBC7-70C0-459B-A183-E6B123236633},2012,8,37.751414,-122.427928
POINT (-122.416178308962 37.774583127674),1603,1449 MISSION ST,Henry Gertmenian Co.,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:01 AM +0000,{34A634D8-C7BA-492D-B863-F94B0B7E70DE},2005,0,37.774578,-122.416165
POINT (-122.420113008917 37.790960947483),2774,1572 CALIFORNIA ST,Lumiere Theatre,CALIFORNIA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:25 AM +0000,{6BD44B73-0757-4D37-8EB4-1B5757CECC04},2004,0,37.790956,-122.4201
POINT (-122.403495009208 37.782123947886),2445,851 HOWARD ST,Pacific Energy Center,HOWARD,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{8BD65392-8017-4600-932F-C8E1CDD96951},2013,1,37.782119,-122.403482
POINT (-122.437343409597 37.774432207993),214,518 DIVISADERO ST,Citi Beauty Skin Care,DIVISADERO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{B8CCEB7D-A1FF-43EC-9360-DA75CDD58B8D},0,0,37.774427,-122.43733
POINT (-122.445129908462 37.770402697777),691,1398 HAIGHT ST,Magnolia Brewery,HAIGHT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:22 AM +0000,{710E2DB3-A87F-48ED-8B2A-97CE76B3C9B4},2010,0,37.770398,-122.445117
POINT (-122.432862008358 37.770681948034),899,557 WALLER ST,Flourish: A Chiropractic Studio,WALLER,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:47 AM +0000,{8597AE85-E85B-4074-84CF-7DCE31B18BEB},2010,10,37.770677,-122.432849
POINT (-122.409440208757 37.757765248153),663,2730 21ST ST,Asiento Neighborhood Bar,BRYANT,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:36 AM +0000,{9B7E8948-61F3-4613-A0DE-F1906C037905},2015,1,37.75776,-122.409427
POINT (-122.415346008676 37.752630948234),1505,3150 24TH ST,Wise Sons Deli,24TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:53 AM +0000,{1B760AF4-C1B9-4FA0-99FE-EEF9A4BEC715},2012,8,37.752626,-122.415333
POINT (-122.497399923932 37.775648478316),2480,3605 BALBOA ST,Victoria's New York Pizza,BALBOA,SIDEWALK,1,2,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:24 AM +0000,{D0DAB6C8-4E74-4581-B222-3618FAF3D030},2015,8,37.775644,-122.497387
POINT (-122.411364009023 37.760123947993),1634,2929 19TH ST,Mission Language and Vocational,19TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:53 AM +0000,{81626A4A-018F-493E-B91E-E8579403AA1A},2002,0,37.760119,-122.411351
POINT (-122.404719009054 37.770127947868),1132,680 08TH ST,UNKNOWN,08TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:39 AM +0000,{CDB67C56-85DB-4FBB-8E03-F4608592768F},2000,0,37.770123,-122.404706
POINT (-122.409501572452 37.757433419413),3470,2309 Bryant Street,Math Times Joy,BRYANT,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:33 AM +0000,{1A6EB997-3FA4-4125-8F48-A1AAB8A6D3A1},2017,4,37.757428,-122.409488
POINT (-122.462378727463 37.724883258608),188,385 ASHTON AVE,YogaFlow SF,ASHTON,SIDEWALK,2,4,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:33 AM +0000,{2531144C-2AF8-4C53-9437-CC7E29214906},2015,10,37.724878,-122.462366
POINT (-122.391169008997 37.732623947399),2937,5029 03RD ST,Hop Li Restaurant,03RD,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:38 AM +0000,{E741A7A1-12DF-476F-90CC-7484ACC2FA25},2006,0,37.732619,-122.391156
POINT (-122.415843008948 37.762810947584),2834,351 SHOTWELL ST,ODC Dance Commons,SHOTWELL,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:33 AM +0000,{C77D2FE7-0BEA-4DB1-A31E-8B4E6992D75C},2006,0,37.762806,-122.41583
POINT (-122.432785008691 37.749362947368),1211,1220 NOE ST,James Lick Middle School,NOE,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{542AE170-5EEC-4E2A-A458-AD77527A1B6D},2003,0,37.749358,-122.432772
POINT (-122.475693009279 37.763788947332),1955,1634 IRVING ST,Underdog,IRVING,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{AF4C22A7-CD3B-4970-BF77-A7E2F96F87CD},2010,0,37.763784,-122.47568
POINT (-122.420969008448 37.790827948089),2721,1515 POLK ST,Nara Sushi,POLK,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{CCBC722F-380B-46E7-9E6E-2438218AA1D4},2004,0,37.790823,-122.420956
POINT (-122.406529009185 37.785851948358),381,1 STOCKTON ST,Apple Store,STOCKTON,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:20 AM +0000,{8178E52B-DF70-460C-B8C8-019EFBC7F21A},2010,0,37.785847,-122.406516
POINT (-122.405192721508 37.788949084293),3446,214 Grant Avenue,,GRANT,SIDEWALK,2,4,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:35 AM +0000,{C6036A5E-B110-485A-BF02-0A30E6DAE479},2016,12,37.788944,-122.40518
POINT (-122.389232462249 37.738734483669),3307,4301 03rd Street,College Track,03RD,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:50 AM +0000,{EA21D122-ABDF-4675-8B2A-8A14AC079720},2017,2,37.73873,-122.389219
POINT (-122.408348208256 37.767063447561),512,730 15TH ST,The British Grocery,15TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:34 AM +0000,{7736A8C3-9B3A-4C23-8B40-C6ED119DD020},2015,1,37.767059,-122.408335
POINT (-122.419412008476 37.759221947944),2407,2366 MISSION ST,Siegel's Clothing Superstore,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:02 AM +0000,{BA9C2CBE-646D-4247-A4D7-2BF5501D77F3},2010,0,37.759217,-122.419399
POINT (-122.442225008735 37.799770947589),1810,2365 CHESTNUT ST,Asa Sushi,CHESTNUT,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{6E68FDC2-11F5-45D0-A0ED-9E44DEEB6B9D},2004,0,37.799766,-122.442212
POINT (-122.422902007899 37.741457947867),2130,3456 MISSION ST,El Ahorro,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:02 AM +0000,{483DB53D-074F-44A1-AD41-CE9A4D18192B},2013,7,37.741453,-122.422889
POINT (-122.417279008478 37.760198947302),2369,806 SOUTH VAN NESS AVE,Bender's Bar and Grill,S VAN NESS,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:01 AM +0000,{E52249A0-2F13-4C1E-BD90-74A47A7A21C5},2002,0,37.760194,-122.417266
POINT (-122.412470009311 37.780900948306),2349,1108 MARKET ST,Renoir Hotel,MARKET,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:53 AM +0000,{A6EFED82-A016-4A1F-9B28-858E1A3DB41D},2013,5,37.780896,-122.412457
POINT (-122.404269009202 37.794740947409),870,668 CLAY ST,Balmoral Hotel North #2,CLAY,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{FC086BC2-3720-40C0-A08F-77A2ADA8F6B8},0,0,37.794736,-122.404256
POINT (-122.415736008051 37.7757379484),456,1370 MISSION ST,Advance English Academy,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:20 AM +0000,{A2D4D6D1-6E15-43EC-A4AD-6F43FAED37A0},2012,9,37.775733,-122.415723
POINT (-122.419113008824 37.760738947945),110,2277 MISSION ST,FFDG Art Gallery,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:23 AM +0000,{C506E979-91BC-410E-B95A-6FE9ED09FFFE},2013,4,37.760734,-122.4191
POINT (-122.465934008592 37.763361947985),513,1336 09TH AVE,Craw Station,09TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:34 AM +0000,{0055AFCE-C3C0-4D70-AA65-95CB49A911F2},2005,0,37.763357,-122.465921
POINT (-122.403034008203 37.788746947495),609,57 POST ST,Mechanic's Institute,POST,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{8F62A175-C1A2-4D95-8521-7B99E9F9CFE9},2013,9,37.788742,-122.403021
POINT (-122.500937008225 37.762758948531),428,4002 IRVING ST,Swell Bicycles,IRVING,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:20 AM +0000,{E7DB7538-797E-4C80-BD28-96318E8CE365},2015,1,37.762754,-122.500924
POINT (-122.418485009009 37.756418947436),1889,2539 MISSION ST,Evergreen Supermarket,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{9EA7F3B2-BD24-46E0-82A8-B58D1CB51E1E},2015,1,37.756414,-122.418472
POINT (-122.403821007834 37.711472948444),1614,6 LELAND AVE,Bank of America,LELAND,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:01 AM +0000,{3741CB1C-B366-4C1D-ACDA-F9B775AE3F67},2009,0,37.711468,-122.403808
POINT (-122.438040009036 37.774551947805),2923,537 DIVISADERO ST,Club One,DIVISADERO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:37 AM +0000,{5C6723AC-0EB1-446E-9D85-2AAA6F89A38D},2005,0,37.774547,-122.438027
POINT (-122.393590008598 37.792769948076),491,101 SPEAR ST,Rincon Center,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:20 AM +0000,{E2E6EB18-A312-40A3-B385-85E56D821BEC},2003,0,37.792765,-122.393577
POINT (-122.43026070467 37.783529743806),1687,1501 O'Farrell St,Rosa Parks Elementary School,ELLIS,SIDEWALK,3,6,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:49 AM +0000,{9DD10B32-3FCA-45BF-98BE-EA7D6D8AF779},2015,12,37.783525,-122.430247
POINT (-122.401161009204 37.797146947637),1966,633 BATTERY ST,One Jackson Place,BATTERY,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{78D12D1C-5EAC-43A7-98E1-E73AB65040DB},2003,0,37.797142,-122.401148
POINT (-122.401775009332 37.763350947492),756,500 DE HARO ST,St. Gregory's,DE HARO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:37 AM +0000,{23399DC5-8E65-4A04-B3E3-F662F5057B91},2002,0,37.763346,-122.401762
POINT (-122.420339454899 37.789232358618),3401,1336 polk,Nob Hill bikram yoga,POLK,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:34 AM +0000,{D77C47F8-C86C-4D93-B377-EA7F7796329C},2016,8,37.789227,-122.420326
POINT (-122.474489008734 37.726589948009),1796,155 WINSTON DR,Merced Public Library,WINSTON,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{D3FD8CDE-05E9-4C9F-B8BC-ECB987E0A897},2002,0,37.726585,-122.474476
POINT (-122.403034008203 37.788746947495),2971,65 POST ST,UNKNOWN,POST,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:38 AM +0000,{353AB6BD-9E51-4A38-BFCB-7A8A34A1DADE},2004,0,37.788742,-122.403021
POINT (-122.416072008027 37.754117947961),458,1199 SOUTH VAN NESS AVE,The Little Spot Cafe,S VAN NESS,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:20 AM +0000,{9AE0A97F-D6FC-4560-8DA5-02D68816B830},2003,0,37.754113,-122.416059
POINT (-122.439811008959 37.800233948385),775,2219 CHESTNUT ST,Benefit Cosemtics,CHESTNUT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:37 AM +0000,{E6F5944D-33CB-4C27-938A-273E3305405F},2004,0,37.800229,-122.439798
POINT (-122.399946808919 37.791478547924),2263,100 BUSH ST,Shell Building,BUSH,SIDEWALK,4,8,,,MTA,10/21/2017 12:21:51 AM +0000,{A572B833-4ADC-4421-AAE0-5669D764399B},2015,1,37.791474,-122.399934
POINT (-122.433316009005 37.783480948246),2195,1501 FILLMORE ST,Starbucks,FILLMORE,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{5AECAC20-302D-47FF-B648-A7A2E32D8A76},2003,0,37.783476,-122.433303
POINT (-122.396014008569 37.79513194752),603,3 EMBARCADERO CENTER,3 Embarcadero Center,CLAY,GARAGE,7,14,,,MTA,10/21/2017 12:21:21 AM +0000,{514897A0-CC90-4CA9-998E-81C537A1B296},0,0,37.795127,-122.396001
POINT (-122.419261008354 37.756387948543),1930,2534 MISSION ST,Foreign Cinema,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{B30C79D2-5500-42A5-8FFE-13777E1C12D4},0,0,37.756383,-122.419248
POINT (-122.44057900865 37.799979948727),19,2269 CHESTNUT ST,UNKNOWN,CHESTNUT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{22105D67-E9CB-4C20-883B-07F4ACF201C9},2004,0,37.799975,-122.440566
POINT (-122.429393253215 37.786515367844),3455,1765 Sutter Street,Japantown Task Force,SUTTER,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:33 AM +0000,{880EC2BD-B58A-4951-B6B6-7330A8DFBED7},2017,1,37.78651,-122.42938
POINT (-122.398749008347 37.795021948056),2904,2 EMBARCADERO CENTER,2 Embarcadero Center,CLAY,GARAGE,7,14,,,MTA,10/21/2017 12:21:37 AM +0000,{FC9F94F5-F269-4B3B-88C7-D5BC84AF4B0B},0,0,37.795017,-122.398736
